(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 150 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 58004 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  10.90-11.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  11.00-11.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  11.10-11.20  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  11.20-11.30  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  11.30-11.40  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  11.40-11.50  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  11.50-11.60  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  11.60-11.70  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  11.70-11.80  sec   127 KBytes  10.4 Mbits/sec    0   11.3 KBytes       
[  5]  11.80-11.90  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  11.90-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  12.00-12.10  sec  0.00 Bytes  0.00 Mbits/sec    2   8.48 KBytes       
[  5]  12.10-12.20  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  12.20-12.30  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  12.30-12.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  12.40-12.50  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  12.50-12.60  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  12.60-12.70  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  12.70-12.80  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  12.80-12.90  sec  0.00 Bytes  0.00 Mbits/sec    2   8.48 KBytes       
[  5]  12.90-13.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  13.00-13.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  13.10-13.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  13.20-13.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  13.30-13.40  sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5]  13.40-13.50  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  13.50-13.60  sec  0.00 Bytes  0.00 Mbits/sec    1   2.83 KBytes       
[  5]  13.60-13.70  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  13.70-13.80  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  13.80-13.90  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  13.90-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  14.00-14.10  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  14.10-14.20  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  14.20-14.30  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  14.30-14.40  sec   127 KBytes  10.4 Mbits/sec    0   7.07 KBytes       
[  5]  14.40-14.50  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.50-14.60  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.60-14.70  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  14.70-14.80  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  14.80-14.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  14.90-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.00-15.10  sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5]  15.10-15.20  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  15.20-15.30  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  15.30-15.40  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  15.40-15.50  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.50-15.60  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.60-15.70  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.70-15.80  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.80-15.90  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  15.90-16.00  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.00-16.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  16.10-16.20  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  16.20-16.30  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  16.30-16.40  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  16.40-16.50  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  16.50-16.60  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  16.60-16.70  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  16.70-16.80  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  16.80-16.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  16.90-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  17.00-17.10  sec   127 KBytes  10.4 Mbits/sec    0   9.90 KBytes       
[  5]  17.10-17.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  17.20-17.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  17.30-17.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  17.40-17.50  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  17.50-17.60  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  17.60-17.70  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  17.70-17.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  17.80-17.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  17.90-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  18.00-18.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  18.10-18.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.20-18.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  18.30-18.40  sec  0.00 Bytes  0.00 Mbits/sec    1   8.48 KBytes       
[  5]  18.40-18.50  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  18.50-18.60  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  18.60-18.70  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  18.70-18.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  18.80-18.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  18.90-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  19.00-19.10  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  19.10-19.20  sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5]  19.20-19.30  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  19.30-19.40  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  19.40-19.50  sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]  19.50-19.60  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  19.60-19.70  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  19.70-19.80  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  19.80-19.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  19.90-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  20.00-20.10  sec   127 KBytes  10.4 Mbits/sec    0   9.90 KBytes       
[  5]  20.10-20.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  20.20-20.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  20.30-20.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  20.40-20.50  sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5]  20.50-20.60  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  20.60-20.70  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  20.70-20.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  20.80-20.90  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  20.90-21.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  21.00-21.10  sec  0.00 Bytes  0.00 Mbits/sec    1   5.66 KBytes       
[  5]  21.10-21.20  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]  21.20-21.30  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.30-21.40  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.40-21.50  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.50-21.60  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.60-21.70  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.70-21.80  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]  21.80-21.90  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  21.90-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  22.00-22.10  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  22.10-22.20  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.20-22.30  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.30-22.40  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]  22.40-22.50  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  22.50-22.60  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  22.60-22.70  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]  22.70-22.80  sec   127 KBytes  10.4 Mbits/sec    0   12.7 KBytes       
[  5]  22.80-22.90  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  22.90-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.00-23.10  sec  0.00 Bytes  0.00 Mbits/sec    3   8.48 KBytes       
[  5]  23.10-23.20  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  23.20-23.30  sec  0.00 Bytes  0.00 Mbits/sec    2   8.48 KBytes       
[  5]  23.30-23.40  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  23.40-23.50  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]  23.50-23.60  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.60-23.70  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.70-23.80  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.80-23.90  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  23.90-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.00-24.10  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.10-24.20  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.20-24.30  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.30-24.40  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
[  5]  24.40-24.50  sec  0.00 Bytes  0.00 Mbits/sec    0   12.7 KBytes       
